Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
MAHBIL10173,SEWAK JAGRAN,,,,PANKAJ SATYAJIT MISHRA,MAH,NAGPUR,D
MAHMAR52949,NANDIGIRAM JAGRAN,,,,MAHABALE PRALHAD LIMBAJIRAO,MAH,NANDED,W
MAHHIN10329,PRAKHAR JAGRAN,प्रखर जागरण,158616.0,MAHHIN/2022/86061,JAVVAD MOHAMMED SHAMSHAD ANSARI,MAH,THANE,W
MAHMAR52850,PRAKHAR JAGRAN,,,,JAVVAD MOHAMMED SHAMSHAD ANSARI,MAH,THANE,W
MAHHIN09384,YUG PRABHAT JAGRAN,युग प्रभात जागरण,135033.0,MAHHIN/2015/62478,PRABHAT GROUP OF PUBLICATION,MAH,THANE,W
MPHIN11121,JAN JAN JAGRAN,,58842.0,58842/ 94,NISHTHAWAN ADVERTISERS AND MEDIA PVT.LTD,MP,BHOPAL,D
MPHIN07284,DAINIK JAGRAN,दैनिक जागरण,1573.0,1573/ 57,GURU DEV GUPTA,MP,BHOPAL,D
MPENG01335,JAGRAN LAW REVIEW,,,UR,"SCHOOL OF LAW, JAGRAN LAKECITY UNIVERSITY BHOPAL",MP,BHOPAL,HY
MPHIN23511,PATRAKAR JAGRAN,पत्रकार जागरण,102012.0,MPHIN/2009/29455,KIRAN TRIPATHI,MP,BHOPAL,M
MPHIN38371,MANAV JAGRAN,मानव जागरण,160008.0,MPHIN/2023/87453,TEENA SHASTRI,MP,BHOPAL,M
MPHIN27979,KRISAK JAGRAN,,115661.0,MPHIN/2011/43104,TRILOKI KANT SHARMA,MP,BHOPAL,W
MPHIN18323,KRISHI JAGRAN SAPTAHIK,कृषि जागरण साप्ताहिक,83129.0,MPHIN/2003/10572,JAGRAN PUBLICATIONS PVT. LTD.,MP,BHOPAL,W
MPHIN37153,VANDE JAGRAN,,157884.0,MPHIN/2021/85329,VIJAY SINGH PANSORIYA,MP,BHOPAL,W
MPHIN12120,KAURAV JAGRAN,,63817.0,63817/ 96,SMT GAITRI DEVI KAURAV,MP,BHOPAL,W
MPHIN14602,DAINIK JAGRAN,,22168.0,22168/ 70,JAGRAN PUBLICATIONS,MP,GWALIOR,D
MPHIN08902,SHOSIT JAGRAN,,35211.0,35211/ 80,KANTA PRASAD KUSHWAHA,MP,GWALIOR,F
MPHIN18736,KRISAK JAGRAN,कृषक जागरण,85540.0,MPHIN/2004/12983,TRILOKI KANT SHARMA,MP,GWALIOR,W
