Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
NOFHIN00557,KARNAL TODAY,करनाल टुडे,51574.0,51574/ 93,NOF,nan,nan,F
ANDENG00151,TODAY TIMES,टुडे टाइम्स,125860.0,ANDENG/2013/53305,PRADEEP KUMAR,AND,PORT BLAIR,D
ANDENG00010,ANDAMAN TODAY,अंडमान टुडे,40891.0,40891/ 88,T.THANGA SWAMY,AND,SOUTH ANDAMAN/ PORT BLAIR,F
APTEL12212,RAYALASEEMA TODAY,nan,110796.0,APTEL/2011/38239,G. SREENATH REDDY,AP,ANANTAPUR,M
APTEL14584,TODAY AMRAVATHI,टुडे अमरावती,136795.0,APTEL/2015/64240,B RAGHUNATHA REDDY,AP,ANANTAPUR,M
APTEL14586,PURAPALAKA TODAY,nan,136273.0,APTEL/2015/63718,KOTHAPALLI ANIL KUMAR REDDY,AP,ANANTAPUR,M
APTEL12098,PUBLIC TODAY,nan,112163.0,APTEL/2011/39606,N. JAYARAMULU,AP,ANANTAPUR,M
APTEL16145,TADIPATRI TODAY,nan,154336.0,APTEL/2022/81781,VELURU RAMADEVI,AP,ANANTAPUR,W
APTEL16197,PRAJA TODAY,nan,,nan,M MAHABOOB BASHA,AP,ANANTAPUR,W
APTEL11831,TODAY CITY,nan,118361.0,APTEL/2012/45804,V.V.RAMANA REDDY,AP,CHITTOOR,F
APTEL16112,THE TELEGRAM TODAY,nan,,nan,KONDURU VENKATESH,AP,CHITTOOR/ TIRUPATI,D
APTEL08541,RURAL TODAY,nan,86603.0,APTEL/2004/14046,S.VENKATA RAMANA,AP,EAST GODAVARI,D
APTEL13347,INDIA NEWS TODAY,nan,121150.0,APTEL/2012/48595,SANGINEEDI SITARAM,AP,EAST GODAVARI,D
APTEL12319,INDIA NEWS TODAY,nan,111391.0,APTEL/2011/38834,SANGINEEDI SITARAM,AP,EAST GODAVARI,M
APTEL04515,TODAY CHRISTIAN,nan,52966.0,52966/ 94,RAJA KUMAR GULLA,AP,EAST GODAVARI/ RAJAHMUNDRY,M
APTEL14592,GUNTUR TODAY,गुंटूर टुडे,138167.0,APTEL/2015/65612,CHALLA SRINIVASA RAO,AP,GUNTUR,D
APTEL11651,TODAY JOURNALIST,टुडे जर्नलिस्ट,105436.0,APTEL/2010/32879,UPPALA SRINIVASA RAO,AP,GUNTUR,D
APTEL13187,VOICE TODAY,nan,120454.0,APTEL/2012/47897,KOLUSU VENKATA SIVA KUMAR,AP,GUNTUR,D
APTEL15442,DELTA TODAY,nan,150107.0,APTEL/2019/77552,BALINEDI HARI BABU,AP,GUNTUR,D
APTEL15328,REVENUE TODAY,nan,146863.0,APTEL/2017/74308,GUNTUPALLI CHANDRA MOULI,AP,GUNTUR,M
APTEL13393,CRIME TODAY A P,nan,123371.0,APTEL/2013/50816,GENTAPOGUE STEEVEN BABU,AP,GUNTUR,M
APTEL08360,ANDHRA TODAY,nan,85167.0,APTEL/2004/12610,BEJJAM SAI PRASAD,AP,GUNTUR,W
APENG03296,TIDING TODAY,nan,115975.0,APENG/2012/43418,MOHAMMED JAMEEL AKTHAR,AP,HYDERABAD,D
APURD01935,FLASH TODAY,nan,118640.0,APURD/2012/46083,SARWAR JAHAN,AP,HYDERABAD,D
APTEL13734,MEDIA TODAY,nan,125393.0,APTEL/2013/52838,ANKATHI RAJKUMAR,AP,HYDERABAD,D
APHIN00335,MANNAT TODAY,nan,125338.0,TELHIN/2013/52783,S. SANDDEP SINGH,AP,HYDERABAD,D
APTEL14890,MIRROR TODAY,मिरर टुडे,138217.0,TELTEL/2015/65662,G JYOTHSNA,AP,HYDERABAD,D
APTEL11435,VASAVI TODAY,वासवी टुडे,106793.0,APTEL/2010/34236,Y.R. GUPTA,AP,HYDERABAD,M
APTEL13434,TODAYS AGRICULTURE,nan,122616.0,APTEL/2013/50061,Y. SRIDEVI,AP,HYDERABAD,M
APTEL13564,POLICE TODAY,nan,124051.0,APTEL/2013/51496,V. SHANKARA SHARMA,AP,HYDERABAD,M
APENG03046,FLASH TODAY,फ़्लैश टुडे,100268.0,APENG/2006/27711,SARWAR JEHAN,AP,HYDERABAD,M
APTEL11726,MEDIA TODAY,nan,114436.0,APTEL/2011/41879,ANKATHI RAJKUMAR,AP,HYDERABAD,M
APTEL12105,HOMOEO TODAY,nan,110380.0,APTEL/2011/37823,R.D.S. PRAKASH,AP,HYDERABAD,M
APENG03292,KRANTI TODAY,क्रांति टुडे,113786.0,APENG/2011/41229,SYED KARRAR ALI KHAN,AP,HYDERABAD,M
APTEL11348,MIRROR TODAY,nan,113432.0,APTEL/2010/40875,G JYOTHSNA,AP,HYDERABAD,M
APENG02867,EDUCATION TODAY,एजुकेशन टुडे,102422.0,APENG/2008/29865,S.M. ZEESHAN ABBAS RAZVI,AP,HYDERABAD,W
APURD01890,FLASH TODAY,nan,114747.0,APURD/2011/42190,SARWAR JAHAN,AP,HYDERABAD,W
APTEL05876,PSYCHOLOGY TODAY,nan,72941.0,APTEL/1999/00384,G.KRISHNA KUMARI,AP,KAKINADA,M
APTEL10112,LOCAL NEWS TODAY,लोकल न्‍यूज टुडे,94710.0,APTEL/2007/22153,V. RAMU,AP,KARIMNAGAR,W
APTEL13541,TIME TODAY,टाइम टुडे,135508.0,TELTEL/2014/62953,K.L.R. MAHARSHI,AP,KHAMMAM,D
APTEL10708,KHAMMAM TODAY,खम्मम टुडे,103114.0,APTEL/2009/30557,J. KUTUMBA RAO,AP,KHAMMAM,W
APENG02055,TODAY FREEDOM,nan,62984.0,62984/ 95,B.DEVADAS,AP,KRISHNA,D
APENG02753,PROFIT TODAY,प्रौफिट टुडे,94987.0,APENG/2007/22430,NITIN K. PAREKH,AP,KRISHNA(VIJAYAWAD),M
APBIL14857,JANATHA TODAY,nan,157011.0,APBIL/2022/84456,VADAPALLI S M PUSHKAR KUMAR,AP,KRISHNA/ MACHILIPATNAM,F
APTEL03704,MILLING TODAY,nan,52848.0,52848/ 93,S.K. SUBANI,AP,KRISHNA/ VIJAYWADA,F
APTEL02838,TODAY POLITICS,nan,44822.0,44822/ 85,AVUTHU AJAY KUMAR,AP,KRISHNA/ VIJAYWADA,F
APTEL04497,HEALTH TODAY,nan,65712.0,65712/ 96,DR. A.PARAMANANDA PRASAD BABU,AP,KRISHNA/ VIJAYWADA,M
APTEL04268,LAW TODAY,nan,62294.0,62294/ 93,BEERAM SUBHA RAO,AP,KRISHNA/ VIJAYWADA,W
APTEL16169,TODAY PALLE SAKSHI,nan,154592.0,APTEL/2022/82037,VADDE LINGAMURTHY,AP,KURNOOL,D
APTEL14338,TELUGU STAR TODAY,nan,131610.0,APTEL/2014/59055,RAZIA BI,AP,KURNOOL,D
APTEL16537,KEERTHI TODAY,nan,,nan,PANUGANTI SRINIVASULU,AP,KURNOOL,M
APTEL11735,TELUGU STAR TODAY,तेलुगु स्टार टुडे,108424.0,APTEL/2010/35867,RAZIA BI,AP,KURNOOL,W
APTEL13103,PALAMOOR TODAY,पालमूर टुडे,137668.0,TELTEL/2015/65113,KAVALI NARSIMHA,AP,MAHBUBNAGAR,W
APENG03159,TODAY NALGONDA,टुडे नलगोंडा,108150.0,APENG/2010/35593,GANGADARI VENKATESHWARLU,AP,NALGONDA,D
APTEL13909,MEDIA TODAY,nan,127020.0,APTEL/2013/54465,ANKATHI RAJKUMAR,AP,NALGONDA,D
APTEL13746,HANSINI TODAY,nan,125624.0,APTEL/2013/53069,BADE RAMARAO,AP,NALGONDA,D
APTEL13432,HANSINI TODAY,nan,122559.0,APTEL/2013/50004,BADE RAMARAO,AP,NALGONDA,M
APTEL15846,SIMHAPURI TODAY,nan,151529.0,TEL/2019/78974,SHAIK GHOUSE BASHA,AP,NELLORE,D
APTEL16248,SHAKTHI TODAY,nan,157999.0,APTEL/2022/85444,BUDURU MALLIKARJUNA,AP,NELLORE,M
APTEL14752,INSURANCE TODAY,nan,144493.0,APTEL/2017/71938,SARVEPALLI KOTESWARA RAO,AP,NELLORE,M
APTEL16546,SIMHAPURI TODAY,nan,159445.0,APTEL/2022/86890,SHAIK GHOUSE BASHA,AP,PRAKASAM,D
APENG02726,HYDERABAD TODAY,हैदराबाद टुडे,96757.0,APENG/2008/24200,AMBADIPUDI SATYANARAYANA MURTHY,AP,RAJAHMUNDRY (EAST GODAVARI),D
APBIL01651,YADAV TODAY,यादव टुडे,103231.0,APBIL/2009/30674,B. KALAVATHI,AP,RANGAREDDY,BM
APTEL12101,GOODS AND SERVICE TAX TODAY,nan,107684.0,APTEL/2010/35127,K. MITHUNCHAKRAVARTHY,AP,RANGAREDDY,D
APTEL10806,NEETI PRAJALA CHAITHANYAM KOSAM VAARTHA TODAY,NEETI PRAJALA CHAITHANYAM KOSAM VAARTHA TODAY,102671.0,TELTEL/2009/30114,CHINNALA SRIKANTH,AP,RANGAREDDY,D
APENG03342,GOODS AND SERVICE TAX TODAY,nan,117218.0,APENG/2012/44661,K.MITHUNCHAKRAVARTHY,AP,RANGAREDDY,D
