Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
NOF00027,BANGALORE KI AWAZ,बैंगलोर की आवाज़,58035.0,58035/,NOT GIVEN,nan,nan,nan
ANDENG00167,HAMARI AWAZ,हमारी आवाज़,4732.0,4732/ 59,K . P. GANESH,AND,PORT BLAIR/ SOUTH ANDAMAN,F
ANDBIL00003,DWEEPON KI AWAZ,द्वीपों की आवाज़,40922.0,40922/ 87,GOPAL,AND,SOUTH ANDAMAN,M
APTEL12801,PEOPLES AWAZ,पीपल्स आवाज़,117028.0,APTEL/2012/44471,BHARATHA SUDARSHAN,AP,HYDERABAD,M
APURD01781,AWAZ-E-DOST,आवाज़ ए दोस्त,96272.0,APURD/2007/23715,SYED DAWOOD RAFIQUI,AP,HYDERABAD,W
APMUL00363,AKHLIYATOKI AAWAZ,अखलि‍याटोकी आवाज़,94747.0,APMUL/2007/22190,MUMTAZ JAHAN,AP,KURNOOL,W
APURD01874,MAZLUM KI AWAZ,मज़लूम की आवाज़,117956.0,APURD/2012/45399,MD. KHALED AHMED,AP,NALGONDA,M
ARPHIN00003,ARUN AWAZ,अरुण आवाज़,84281.0,ARPHIN/2003/11724,SWARN P. SHUKLA,ARP,PAPUM PARE,W
ASSBEN00461,GANA AWAZ,गन आवाज,94135.0,ASSBEN/2006/21578,SUJIT KUMAR CHANDA,ASS,CACHAR,W
ASSASS01321,INSANI AWAZ,इंसानी आवाज़,33923.0,33923/ 78,AWAZ PRAKASHN PARISHAD,ASS,GOALPARA,F
BIHHIN04117,GANGA KE AWAZ,गंगा की आवाज़,60426.0,60426/ 82,NIL,BIH,nan,W
BIHHIN04059,ANGBHUMI AWAZ,औगभूमि आवाज़,39595.0,39595/ 82,RAJIV RANJAN,BIH,BHAGALPUR,D
BIHHIN01236,KHAMOSH AWAZ,खामोश आवाज़,39614.0,39614/ 82,DHANUSHDHARI PRASAD DHANUSH,BIH,BHAGALPUR,F
BIHHIN11892,SMARTCITY AAWAZ,nan,,nan,DR. AMIT KUMAR,BIH,BHAGALPUR,W
BIHMAI00059,MITHILA AWAZ,मिथिला आवाज़,121287.0,BIHMAI/2013/48732,CMJ COMMUNICATION PVT. LTD.,BIH,DARBHANGA,D
BIHURD00606,AWAZ-E-NAU,आवाज़-ए-नौ,74758.0,BIHURD/1997/02000,NAZEER AHMED ANJUM,BIH,DARBHANGA,M
BIHURD00612,AWAZ-E-NAU,आवाज़-ए-नौ,75168.0,BIHURD/2000/02611,DR.NAZEER AHMED ANJU,BIH,DARBHANGA,W
BIHHIN05400,CITIZEN AWAZ,सिटीजन आवाज़,146560.0,BIHHIN/2016/74005,PANKAJ KUMAR JHA,BIH,DARBHANGA,W
BIHHIN01606,MOOK AWAZ,मूक आवाज़,38323.0,38323/ 80,"DR. RAM MANOHAR LOKSEVA SAMAJ ADHYAN SANSTHAN, GAYA",BIH,GAYA,W
BIHHIN11858,SEEMANCHAL KI AWAZ,सीमांचल की आवाज़,153410.0,BIHHIN/2021/80855,MD AZHAR RAHMANI,BIH,KISHANGANJ,M
BIHHIN03319,ANUSACHIVYAI AWAZ,अनुसचिव्याई आवाज़,28466.0,28466/ 74,BIHAR MINISTERIAL OFFICERS' ASSOCIATION,BIH,MUNGER,M
BIHHIN04126,HAM SABO KE AWAZ,हम सबों की आवाज़,48995.0,48995/ 89,NOT GIVEN,BIH,MUZAFFARPUR,F
BIHHIN00937,HAM SABON KI AWAZ,हम सबों की आवाज़,52292.0,52292/ 90,ASHOK KUMAR SINGH,BIH,MUZAFFARPUR,W
BIHHIN01455,MAGADH KI AWAZ,मगध की आवाज़,68041.0,68041/ 93,RAJENDRA KUMAR PANDEY,BIH,NAWADA,W
BIHHIN04769,JAMHURIYAT KI AWAZ,जमहुरियत की आवाज़,95899.0,BIHHIN/2007/23342,MOHAMMAD FARMAN,BIH,PASHCHIM CHAMPARAN,W
BIHURD00719,GHAR GHAR KI AAWAZ,घर घर की आवाज़,122825.0,BIHURD/2013/50270,KHURSHID AHMAD,BIH,PATNA,D
BIHURD00321,QAUMI AWAZ,क़ौमी आवाज़,38912.0,38912/ 81,ASSOCIATED JOURNALS LTD.,BIH,PATNA,D
BIHURD00834,SACH KI AWAZ,सच की आवाज़,158569.0,BIHURD/2021/86014,SYED FAISAL ALI,BIH,PATNA,D
BIHURD00839,NAWAZ-E-WAQT,nan,,nan,ASGAR ALI,BIH,PATNA,D
BIHURD00716,AWAZ E BIHAR,आवाज़ ए बिहार,122238.0,BIHURD/2013/49683,ZIAUL HASAN,BIH,PATNA,D
BIHHIN03179,ASIA KI AWAZ,एशिया की आवाज़,33312.0,33312/ 78,RAJENDRA SINGH BISMIL,BIH,PATNA,W
BIHHIN04258,UPEKSHIT AWAZ,उपेक्षित आवाज़,22402.0,22402/ 71,UPEKSHIT DICCHARA VARGA SANGH,BIH,PATNA,W
BIHHIN00673,DARIYAPUR KI AWAZ,दरियापुर की आवाज़,49061.0,49061/ 89,REKHA CHOUDHARY,BIH,PATNA,W
BIHHIN04064,ARERAJ KI AWAZ,अरेराज की आवाज़,44477.0,44477/ 88,SATYAPRAKSAH SINGH,BIH,PURBA CHAMPARAN,D
BIHHIN02583,SONEY KI AWAZ,सोने की आवाज़,49084.0,49084/ 89,BHUVNESHWAR MEHTO,BIH,PURBA CHAMPARAN,D
BIHHIN04392,JAHRKHAND KI AWAZ,झारखंड की आवाज़,76361.0,JHAHIN/2001/03804,SANDEEP KAR,BIH,PURBI SINGHBHUM/ JAMSHEDPUR,W
BIHHIN11921,PURNIA KI AWAZ,nan,,nan,SANJAY SINGH,BIH,PURNIA,F
BIHHIN04470,KHULI AWAZ,खुली आवाज़,81664.0,BIHHIN/2002/09107,ANITA SINHA,BIH,SAMASTIPUR,F
BIHURD00059,AWAZ E HIND,आवाज़ ए हिन्द,39629.0,39629/ 83,NIRMALA SINGH,BIH,SARAN,W
BIHHIN04142,JANADHIK KI AWAZ,जनाधिक की आवाज़,52426.0,52426/ 91,MANISH KUMAR,BIH,SITAMARHI,W
CHAHIN00445,HARYANA KI AAWAZ,हरियाणा की आवाज़,142649.0,CHAHIN/2016/70094,MUKESH KUMAR ROHILLA,CHA,CHANDIGARH,D
CHABIL00200,PEHLI AWAZ,पहली आवाज़,117954.0,CHABIL/2012/45397,PARDEEP MITTAL,CHA,CHANDIGARH,F
CHABIL00239,AWAZ-1-KHUKHRAIN,आवाज़-1-खुखरैन,31130.0,31130/ 77,G.D. SURI,CHA,CHANDIGARH,M
CHAURD00033,AWAZ-E-MAZDOOR,आवाज़-ए-मज़दूर,18138.0,18138/ 70,RADHA KISHAN,CHA,CHANDIGARH,W
CHAMUL00060,AWAZ I USTAD,आवाज़ ए उस्ताद,9998.0,9998/ 64,AMRIT LAL CHOPRA,CHA,CHANDIGARH,W
CHAPUN00124,AWAZ-E-QAUM,आवाज़-ए-क़ौम,67212.0,67212/ 93,BIKRAMJEET SINGH BHULLAR,CHA,CHANDIGARH,W
CHAPUN00043,INDIA YUVA AWAZ,इंडिया युवा आवाज़,46787.0,46787/ 88,RAJINDER KUMAR GUPTA,CHA,CHANDIGARH,W
CHHHIN17272,RAHI KI AAWAZ,nan,,nan,KARUNA SHANKAR TIWARI,CHH,BALODA BAZAAR,W
CHHBIL01062,BASTAR KI AWAZ,nan,160142.0,CHHBIL/2023/87587,MAHENDRA MAHAPATRA,CHH,BASTAR,M
CHHHIN17216,ABHED AWAZ,nan,,nan,AMAR BANDHI,CHH,BILASPUR,W
CHHHIN15946,RAIPUR KI AWAZ,रायपुर की आवाज,127294.0,CHHHIN/2014/54739,MOHD. YASIN,CHH,BILASPUR,W
CHHHIN00505,GAZALA KI AWAZ,गजाला की आवाज,94015.0,CHHHIN/2004/21458,IQBAL RAAIN,CHH,DURG,W
CHHHIN17474,KORBA KI AAWAZ,कोरबा की आवाज़,160011.0,CHHHIN/2023/87456,KIRTI KUMAR AGRAWAL,CHH,KORBA,W
CHHHIN15502,NAI PIDHI KI AWAZ,नई पीढ़ी की आवाज़,121246.0,CHHHIN/2012/48691,BHANU PRATAP MISHRA,CHH,RAIGARH,F
CHHHIN17399,RAIGARH AAWAZ,nan,,nan,SURAJ SHARMA,CHH,RAIGARH,TWW
CHHHIN16476,MASIHI AWAZ,मसीही आवाज़,13065.0,13065/ 57,GOVERNING BODY FOR LITERATURE AND AUDIO VISUAL EDUCATION OF THE BOARD OF CHRISTIAN INSTITUTION,CHH,RAIPUR,M
CHHHIN03095,ROOHANI AWAZ,रूहानी आवाज़,110053.0,CHHHIN/2011/37496,RAVINDER PAL SINGH,CHH,RAIPUR,M
CHHHIN01508,CHHATTISGARH AUR AAWAZ,छत्तीसगढ़ और आवाज़,97971.0,CHHHIN/2006/25414,BHUPENDRA SHARMA,CHH,RAIPUR,M
CHHHIN16462,AHAM AWAZ,अहम आवाज़,147475.0,CHHHIN/2015/74920,NAIM AHMED,CHH,RAIPUR,M
CHHHIN03024,NARI KI AWAZ,नारी की आवाज़,111940.0,CHHHIN/2011/39383,SHAHEEN BEGAM,CHH,RAIPUR,M
CHHHIN15670,SHUBH SAI AWAZ,शुभ साई आवाज़,125941.0,CHHHIN/2013/53386,PUNENDRA DEVANGANA,CHH,RAIPUR,W
CHHHIN15311,SAMUDAY KI AWAZ,समुदाय की आवाज़,115219.0,CHHHIN/2012/42662,SUKHENDRA PATEL,CHH,RAIPUR,W
CHHHIN15737,SHOSHAN MUKTI AAWAZ,शोषण मुक्ति आवाज़,125090.0,CHHHIN/2013/52535,BHAIYA LAL PANTHI,CHH,RAIPUR,W
CHHHIN02861,JAN AWAZ KI TAKAT,जन आवाज़ की ताकत,105623.0,CHHHIN/2010/33066,MAHADEV SINGH CHANDEL,CHH,RAJNANDGAON,W
DELHIN09591,PURAVE DELHI KE AWAZ,पुरवी डेल्ही की आवाज़,55657.0,55657/ 92,NOT GIVEN,DEL,nan,W
DELURD01991,JAMHOORI AWAZ,जम्हूरी आवाज़,63445.0,63445/ 95,NESAR AHMAD ZAKI,DEL,DELHI,D
DELHIN16258,AWAZ E JAHAN,आवाज़ ए जहान,108709.0,DELHIN/2011/36152,SWAMI RAMRISHNA SHIVANAND,DEL,DELHI,D
