Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
ASSENG00367,ASSAM TRIBUNE,असम ट्रिब्यून,109963,ASSENG/2009/37406,ASSAM TRIBUNE P.LTD,ASS,DIBRUGARH,D
ASSENG00220,CACHAR TRIBUNE,कछार ट्रिब्यून,40742,40742/ 81,UJJAL KUMAR DASS,ASS,HAILAKANDI,W
ASSENG00031,THE CONSTRUCTION TRIBUNE,द कंस्ट्रक्शन ट्रिब्यून,40988,40988/ 91,RUNIMA BARUA,ASS,JORHAT,F
ASSENG00017,ASSAM TRIBUNE,असम ट्रिब्यून,1127,1127/ 57,ASSAM TRIBUNE (P) LTD,ASS,KAMRUP METROPOLITAN/ GUWAHATI,D
CHAHIN00043,DAINIK TRIBUNE,दैनिक ट्रिब्यून,32198,32198/ 78,THE TRIBUNE TRUST,CHA,CHANDIGARH,D
CHAPUN00259,PUNJABI TRIBUNE,पंजाबी ट्रिब्यून,32197,32197/ 78,THE TRIBUNE TRUST,CHA,CHANDIGARH,D
CHAENG01062,THE TRIBUNE,nan,15,15/ 57,THE TRIBUNE TRUST,CHA,CHANDIGARH,D
CHAENG01136,THE TRIBUNE,nan,145158,CHAENG/2017/72603,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT BATHINDA,D
CHAPUN00309,PUNJABI TRIBUNE,पंजाबी ट्रिब्यून,145162,CHAPUN/2017/72607,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT BATHINDA,D
CHAHIN00455,DAINIK TRIBUNE,दैनिक ट्रिब्यून,145254,CHAHIN/2017/72699,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT BATHINDA),D
CHAPUN00308,PUNJABI TRIBUNE,पंजाबी ट्रिब्यून,145161,CHAPUN/2017/72606,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT GURGAON),D
CHAHIN00454,DAINIK TRIBUNE,दैनिक ट्रिब्यून,145253,CHAHIN/2017/72698,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT GURGAON),D
CHAENG01138,THE TRIBUNE,nan,145160,CHAENG/2017/72605,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT GURGAON),D
CHAPUN00310,PUNJABI TRIBUNE,पंजाबी ट्रिब्यून,145163,CHAPUN/2017/72608,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT JALANDHAR),D
CHAENG01137,THE TRIBUNE,nan,145159,CHAENG/2017/72604,THE TRIBUNE TRUST,CHA,CHANDIGARH(PRINTED AT JALANDHAR),D
CHHHIN00250,RASHTRIYA HIND TRIBUNE,राष्ट्रीय हिन्द ट्रिब्यून,81601,CHHHIN/2003/09044,NANDINI CHANDRAKAR,CHH,RAIPUR,Q
DELENG11115,DELHI TRIBUNE,डेल्ही ट्रिब्यून,66566,66566/ 97,MAYA ENTERPRISES,DEL,DELHI,D
DELENG08314,INDIAN MEDICAL TRIBUNE,इंडियन मेडिकल ट्रिब्यून,55745,55745/ 93,DR.J.K. JAIN,DEL,DELHI,W
DELENG08892,THE INTERTRADE TRIBUNE,द इंटरट्रेड ट्रिब्यून,68776,68776/ 98,OM PRAKASH PANWAR 'NISHANT',DEL,DELHI,W
HARHIN10942,SIRSA TRIBUNE,सिरसा ट्रिब्यून,38372,38372/ 81,SURENDER BHATIA,HAR,SIRSA,F
HPENG00130,HIMACHAL TRIBUNE,हिमाचल ट्रिब्यून,72573,HPENG/1998/00016,DEV PANTHI,HP,SHIMLA,W
HPHIN00399,HIMACHAL TRIBUNE,हिमाचल ट्रिब्यून,76819,HPHIN1998/04262,DEV KUMAR PANDHI,HP,SHIMLA,W
HPHIN00155,NATIONAL TRIBUNE,नेशनल ट्रिब्यून,34127,34127/ 82,HRIDESH ARYA,HP,SIMLA,D
JKURD01036,KASHMIR TRIBUNE,कश्मीर ट्रिब्यून,108167,JKURD/2010/35610,JAWAID AHMAD DAR,JK,BARAMULA,W
JKENG00845,KASHMIR TRIBUNE,कश्मीर ट्रिब्यून,113608,JKENG/2011/41051,JAWAID AHMAD DAR,JK,BARAMULLA,W
JKENG01230,THE TRIBUNE,nan,142198,JKENG/2016/69643,THE TRIBUNE TRUST,JK,JAMMU,D
JKENG01059,THE TRIBUNE,द ट्रिब्यून,126847,JKENG/2013/54292,THE TRIBUNE TRUST,JK,SRINAGAR,D
JKURD01095,SRINAGAR TRIBUNE,श्रीनगर ट्रिब्यून,122284,JKURD/2013/49729,BILAL AHMAD,JK,SRINAGAR,W
KERENG00780,INDUSTRIAL AND CULTURAL TRIBUNE,इंडस्ट्रियल एंड कल्चरल ट्रिब्यून,7786,7786/ 64,C K PILLAY,KER,ERNAKULAM,M
MAHENG04289,GOAN TRIBUNE,गोअन ट्रिब्यून,6030,6030/ 57,TRIBUNE(BOMBAY) PRIVATE LTD,MAH,MUMBAI,F
MAHENG05869,THE BOMBAY TRIBUNE,द बॉम्बे ट्रिब्यून,59911,59911/ 95,ASHOK GARG,MAH,MUMBAI,W
MAHENG07429,THE U P LAW TRIBUNE,द यू पी लॉ ट्रिब्यून,35721,35721/ 79,ALL INDIA REPORTER LTD.,MAH,NAGPUR,M
MAHENG14048,HOUSING TRIBUNE,nan,24249,24249/ 74,SAMAJ SHIKSHAN AND SEVA MANDAL,MAH,PUNE,Q
MAHMAR11969,PUNE TRIBUNE,पुणे ट्रिब्यून,59814,59814/ 94,ANGELS SALES & MARKETING PVT. LTD.,MAH,PUNE,W
MAHMAR14559,YAVATMAL TRIBUNE,यवतमाल ट्रिब्यून,70268,70268/ 96,J.B. SONONE,MAH,YAVATMAL,W
MPHIN37294,CAPITAL TRIBUNE,कैपिटल ट्रिब्यून,157655,MPHIN/2021/85100,SANTOSH SAHU,MP,BHOPAL,W
PUNURD00350,THE LUDHIANA TRIBUNE,द लुधियाना ट्रिब्यून,33864,33864/ 79,RAJINDER KUMAR JAIN,PUN,LUDHIANA,F
TELENG00315,BANJARA TRIBUNE,बंजारा ट्रिब्यून,27703,27703/ 76,RAVINDRA NAIK,TEL,HYDERABAD,W
UPHIN19653,NISHPAKSH AVADH TRIBUNE,निष्पक्ष अवध ट्रिब्यून,59571,59571/ 94,S.R.PUBLICATION,UP,BARABANKI,W
UPENG00860,NATIONAL TRIBUNE,नेशनल ट्रिब्यून,9899,9899/ 66,C.M SADRI,UP,KANPUR,W
UPHIN26037,AVADH TRIBUNE,अवध ट्रिब्यून,35616,35616/ 80,SATYA PRAKASH SRIVASTAVA,UP,LUCKNOW,F
UPENG03764,THE LUCKNOW TRIBUNE,द लखनऊ ट्रिब्यून,120785,UPENG/2012/48229,RAJNISH CHOPRA,UP,LUCKNOW,W
UPHIN26537,HINDI TRIBUNE,हिंदी ट्रिब्यून,13505,13505/ 67,AKHILANAND ARYA,UP,LUCKNOW,W
UPENG00865,NEPAL TRIBUNE,नेपाल ट्रिब्यून,12668,12668/ 66,PUSPA LAL,UP,VARANASI,M
UTTENG00173,THE UTTARAKHAND TRIBUNE,दि उत्तराखण्ड ट्रिब्यून,141179,UTTENG/2011/68624,SHIVAM BISHT,UTT,DEHRADUN,W
WBENG03332,INDUSTRIAL TRIBUNE,इंडस्ट्रियल ट्रिब्यून,13752,13752/ 67,KASHINATHH LAHIRI,WB,BARDHAMAN,F
WBENG02280,COAL FIELD TRIBUNE,कोल फील्ड ट्रिब्यून,5478,5478/ 62,DAMODAR GUPTA,WB,BARDHAMAN,W
WBBEN08414,ASANSOL DURGAPUR TRIBUNE,आसनसोल दुर्गापुर ट्रिब्यून,53217,53217/ 92,DULAL MONDAL,WB,BARDHMAN/ DURGAPUR,W
WBENG01884,SPORTS TRIBUNE,स्पोर्ट्स ट्रिब्यून,18370,18370/ 70,KISHORE BHIMANI,WB,KOLKATA,W
