Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
ANDENG00095,THE ECHO OF INDIA,दि इको ऑफ़ इंडिया,94929.0,ANDENG/2007/22372,ASISH LAHA,AND,PORT BLAIR,D
ANDHIN00039,INFO INDIA,इन्फो इंडिया,118463.0,ANDHIN/2012/45906,ASISH LAHA,AND,PORT BLAIR,D
ANDBIL00046,THE MINI INDIA,nan,138895.0,ANDBIL/2015/66340,K. YADAGIRI RAO,AND,PORT BLAIR,W
APMUL00460,SOUTH INDIAN CENTRAL POST,nan,,UR,SAAKE JOHNY,AP,ANANTAPUR,M
APENG03536,GREAT GAME INDIA,nan,143239.0,APENG/2015/70684,G. RAJA SEKHAR,AP,ANANTAPUR,Q
APTEL15448,HAPPY INDIA TIMES,nan,147939.0,APTEL/2017/75384,HAPPY INDIA TECHNOCORP PVT LTD,AP,ANANTAPUR,W
APENG03627,HIT HAPPY INDIA TECHS NEWS,nan,151429.0,APENG/2020/78874,HAPPY INDIA TECHNOCORP PRIVATE LIMITED,AP,ANANTAPUR,W
APENG03559,THE NEW INDIAN EXPRESS,दि न्यु इंडियन एक्सप्रेस,137018.0,APENG/2015/64463,EXPRESS PUBLICATIONS (MADURAI) LTD.,AP,CHITTOOR,D
APENG03336,THE HANS INDIA,nan,114526.0,APENG/2012/41969,HYDERABAD MEDIA HOUSE LTD.,AP,CHITTOOR,D
APTEL08620,MOTHER INDIA,मदर इंडि‍या,89995.0,APTEL/2004/17438,T.K.KARTHAVARAYAN,AP,CHITTOOR,F
APTEL13525,INDIANS DAY,इंडियंस डे,134983.0,APTEL/2015/62428,T. GOPINATH,AP,CHITTOOR,M
APTEL13347,INDIA NEWS TODAY,nan,121150.0,APTEL/2012/48595,SANGINEEDI SITARAM,AP,EAST GODAVARI,D
APENG03525,DECCAN INDIA,डेक्कन इंडिया,130009.0,APENG/2014/57454,KAREM SIVAJI,AP,EAST GODAVARI,D
APTEL15033,THE NEWS INDIA,nan,,UR,SEETHARAM SANGINEEDI,AP,EAST GODAVARI,M
APTEL12319,INDIA NEWS TODAY,nan,111391.0,APTEL/2011/38834,SANGINEEDI SITARAM,AP,EAST GODAVARI,M
APTEL13722,SUVARNA INDIA,nan,125540.0,APTEL/2013/52985,BUSIM VENKATA NAGA VENU,AP,EAST GODAVARI,M
APTEL11926,INDIA SAMACHARAM,nan,119848.0,APTEL/2010/47291,GUTHALA SUBHASH BABU,AP,EAST GODAVARI,M
APTEL13546,INDIA JYOTY,nan,123594.0,APTEL/2013/51039,ATMAKURI KRISHNA PRASADA RAO,AP,GUNTUR,D
APENG02008,INDIAN JOURNAL OF SYSTEMATIC ENTOMOLOGY,nan,37968.0,37968/ 84,MUBARAK ALI KHAN,AP,GUNTUR,HY
APENG00532,INDIAN JOURNAL OF AGRICULTUURAL MARKETING,nan,44973.0,44973/ 88,INDIAN SOCIETY OF AGRICULTURAL MARKETING,AP,GUNTUR,HY
APTEL09304,SARE JAHANSE ACHHA INDIA,सारे जाहानसे अच्‍छा इंडि‍या,89946.0,APTEL/2006/17389,SYED NASEER AHAMED,AP,GUNTUR,M
APTEL12724,NAMASTHE INDIA,nan,116492.0,APTEL/2012/43935,ATMAKURI KRISHNA PRASADA RAO,AP,GUNTUR,W
APTEL13899,INDIAN LEGEND,nan,137843.0,APTEL/2015/65288,PEREBOINA AJAY INDIAN,AP,GUNTUR,W
APENG03438,THE BEST OF INDIA,nan,126879.0,UR,FRANCIS FARIAS,AP,HYDERABAD,A
APTEL12389,SOUTH INDIA NEWS,nan,112058.0,APTEL/2011/39501,N.V. RAMANA REDDY,AP,HYDERABAD,D
