Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
NOF00025,ANUJA TIMES,nan,48613.0,48613/ 0,NOF,nan,nan,nan
NOF00028,NEEL GAGAN SAMACHAR TIMES,nan,58610.0,58610/ 94,NOT GIVEN,nan,nan,A
NOFHIN00548,AAP SUB KA SAHARA TIMES,nan,55677.0,55677/ 92,NOT GIVEN,nan,nan,W
NOFHIN00556,JAN JAGRAN TIMES,nan,62359.0,62359/ 94,NOT GIVEN,nan,nan,W
ANDENG00151,TODAY TIMES,टुडे टाइम्स,125860.0,ANDENG/2013/53305,PRADEEP KUMAR,AND,PORT BLAIR,D
ANDENG00160,THE KING TIMES,द किंग टाइम्स,136478.0,ANDENG/2015/63923,MOHD. SHAFIQUE,AND,PORT BLAIR,D
ANDENG00127,EMERALD TIMES,एमरलैंड टाइम्स,113839.0,ANDENG/2011/41282,R. GURU,AND,PORT BLAIR,F
ANDENG00029,THE PORT BLAIR TIMES,द पोर्ट ब्लेयर टाइम्स,63762.0,63762/ 96,DR P A MATHEWS,AND,PORT BLAIR,W
ANDENG00033,THE DAWN TIMES,द डॉन टाइम्स,64487.0,64487/ 96,P. GANESHAN,AND,SOUTH ANDAMAN/ PORT BLAIR,D
ANDENG00187,THE TIMES OF ANDAMAN,nan,,UR,REEYA CHAKRABORTY,AND,SOUTH ANDAMAN/ PORT BLAIR,D
ANDENG00052,NEW ISLAND TIMES,न्यू आइलैंड टाइम्स,72242.0,72242/ 99,K P KANNAN,AND,SOUTH ANDAMAN/ PORT BLAIR,W
APTEL14486,SHANTHI TIMES,nan,135257.0,APTEL/2015/62702,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,D
APTEL15851,ANANTA TIMES,nan,153959.0,APTEL/2021/81404,JODU RAMESH KUMAR,AP,ANANTAPUR,D
APTEL16160,AKSHRA TIMES,nan,,UR,BABAN JAVEED BASHA,AP,ANANTAPUR,D
APTEL15581,KADIRI TIMES,nan,150631.0,APTEL/2018/78076,SHAIK.SHABBIR SAHEB,AP,ANANTAPUR,D
APTEL15823,BHAGAVAN TIMES,nan,,nan,GADDAM SREEDHAR,AP,ANANTAPUR,D
APTEL13506,SHAMBU TIMES,nan,126782.0,APTEL/2013/54227,ILLURI PARAMESWAR REDDY,AP,ANANTAPUR,F
APTEL12574,PENNA TIMES,nan,119501.0,APTEL/2012/46944,BILLE. AKKULAPPA,AP,ANANTAPUR,M
APTEL15887,VAMSI TIMES,nan,,nan,KADAPA MADHUSUDHANA,AP,ANANTAPUR,M
APTEL16462,PAVITRA TIMES,nan,,nan,VYKUNTAM PRABHAKAR CHOWDARY,AP,ANANTAPUR,M
APTEL12035,NANDU TIMES,nan,117380.0,APTEL/2012/44823,B. SUBRAMANYAM REDDY,AP,ANANTAPUR,M
APTEL12410,THE TIMES OF ADITHYA,nan,114958.0,APTEL/2012/42401,PULIKANTI NAGENDRANATHA REDDY,AP,ANANTAPUR,M
APTEL15107,KHADRI TIMES,nan,143230.0,APTEL/2016/70675,PUPPALA ANJANEYLU,AP,ANANTAPUR,M
APTEL14637,NEW MAMATHA TIMES,न्यू ममता टाइम्स,137437.0,APTEL/2015/64882,M BALAVENKATAIAH,AP,ANANTAPUR,M
APTEL14921,TADIPATRI TIMES,nan,142695.0,APTEL/2016/70140,GORTHI JYOTHI,AP,ANANTAPUR,M
APTEL14165,BHAGAVAN TIMES,nan,130478.0,APTEL/2014/57923,GADDAM SREEDHAR,AP,ANANTAPUR,M
APTEL14259,SHALINI TIMES,शालिनी टाइम्स,133866.0,APTEL/2015/61311,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,M
APTEL15674,PAMIDI TIMES,nan,149407.0,APTEL/2018/76852,CHAKALI SIVAPRASAD,AP,ANANTAPUR,M
APTEL14100,HARIKA TIMES,हरिका टाइम्स,139032.0,APTEL/2016/66477,M. RAJASEKHAR REDDY,AP,ANANTAPUR,M
APTEL14563,KEERTHI TIMES,कीर्ति टाइम्स,136274.0,APTEL/2015/63719,K. SREENIVASULU,AP,ANANTAPUR,M
APTEL15448,HAPPY INDIA TIMES,nan,147939.0,APTEL/2017/75384,HAPPY INDIA TECHNOCORP PVT LTD,AP,ANANTAPUR,W
APBEN00010,PYRAMID TIMES,nan,69623.0,69623/ 98,DR. G.R. YUGANDHAR,AP,CHITTOOR,BM
APTEL10796,TIRUPATI HAPPY TIMES,तिरुपति हैप्पी टाइम्स,100340.0,APTEL/2009/27783,N. REDDEPPA NAIDU,AP,CHITTOOR,F
APTEL10268,ESWAR TIMES,nan,98822.0,APTEL/2008/26265,L. ESWAR,AP,CHITTOOR,M
APTEL14368,REGISTRATION TIMES,रजिस्ट्रेशन टाइम्स,136230.0,APTEL/2015/63675,N.PURUSHOTHAM,AP,CHITTOOR,M
APBIL14868,TIMES OF TIRUPATI,nan,,nan,K. NETHAJI,AP,CHITTOOR/ TIRUPATI,M
