Title-Code,Title Name,Owner Name,State,Publication City/District
PUNPUN03786,JAN JAGRAN,RAVI BHARDWAJ,PUN,JALANDHAR
PUNHIN01500,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,PUN,LUDHIANA
PUNPUN04002,YOUTH JAGRAN,SURJIT KHARBANDA,PUN,LUDHIANA
PUNHIN01567,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,PUN,PATIALA
RAJHIN07775,AJMER JAGRAN,JITENDRA KUMAR NARSINGHANI,RAJ,AJMER
RAJHIN06338,JAGRAN,BHAVANENDRA BARUA,RAJ,AJMER
RAJHIN07368,VIR BHARAT HADOTI JAGRAN,ANIL KUMAR SHRIVASTA,RAJ,BARAN
RAJHIN06232,AMARJAGRAN SAMRAT,JEEVAN SINGH KHANGROAT,RAJ,JAIPUR
RAJHIN10624,ADHIMAIK PUNJAGRAN,NOT GIVEN,RAJ,JAIPUR
RAJHIN15260,CHAITANYA JAGRAN,PREMCHAND DHAMNIYA,RAJ,JAIPUR
RAJHIN13652,MARUTHAR JAGRAN,KAMLESH KALLA,RAJ,JODHPUR
RAJHIN12806,BRAHMAN JAGRAN,SUNITA VYAS,RAJ,JODHPUR
RAJHIN16943,PUNARJAGRAN SANDESH,AJIT KUMAR SINGH,RAJ,JODHPUR
RAJHIN09487,JAIN JAGRAN ABHIYAN,RANI MEHTA,RAJ,JODHPUR
RAJHIN15032,SAI JAGRAN,PUSPENDRA SINGH MEENA,RAJ,PALI
RAJHIN27860,AUDICHYA JAGRAN,MOTILAL SHARMA,RAJ,UDAIPUR
SIKHIN00007,SAMPURNA JAGRAN,NUTAN VERMA,SIK,EAST GANGTOK
TELENG00433,JAN JAGRAN YOGIC SCIENCES,A. LOKENDER REDDY,TEL,HYDERABAD
UPHIN13782,JAGRAN,JAGRAN PRAKASHAN LTD,UP,AGRA
UPHIN41436,JAISWAL JAIN JAGRAN,AKHIL BHARATIYA SHREE DIGAMBER JAISWAL JAIN (UPROCHIYA)SEWA NYAS.AGRA.,UP,AGRA
